Sheet,Cell,StartTime,EndTime,Gain,Mean,StDev,Temperature
Sheet2,B1,2024-05-01 12:32:56,2024-05-01 12:34:29,69,42494,2658,22.05443
Sheet2,B2,2024-05-01 12:32:56,2024-05-01 12:34:29,69,37302,2685,22.05443
Sheet2,B3,2024-05-01 12:32:56,2024-05-01 12:34:29,69,20352,2435,22.05443
Sheet2,B4,2024-05-01 12:32:56,2024-05-01 12:34:29,69,16273,713,22.05443
Sheet2,C1,2024-05-01 12:32:56,2024-05-01 12:34:29,69,38752,2126,22.05443
Sheet2,C2,2024-05-01 12:32:56,2024-05-01 12:34:29,69,30174,2785,22.05443
Sheet2,C3,2024-05-01 12:32:56,2024-05-01 12:34:29,69,19159,1193,22.05443
Sheet2,C4,2024-05-01 12:32:56,2024-05-01 12:34:29,69,14237,672,22.05443
Sheet3,B1,2024-05-01 12:35:07,2024-05-01 12:36:41,69,42903,2634,21.26985
Sheet3,B2,2024-05-01 12:35:07,2024-05-01 12:36:41,69,37978,2415,21.26985
Sheet3,B3,2024-05-01 12:35:07,2024-05-01 12:36:41,69,20872,2805,21.26985
Sheet3,B4,2024-05-01 12:35:07,2024-05-01 12:36:41,69,17161,868,21.26985
Sheet3,C1,2024-05-01 12:35:07,2024-05-01 12:36:41,69,42157,2040,21.26985
Sheet3,C2,2024-05-01 12:35:07,2024-05-01 12:36:41,69,32470,2814,21.26985
Sheet3,C3,2024-05-01 12:35:07,2024-05-01 12:36:41,69,20959,1107,21.26985
Sheet3,C4,2024-05-01 12:35:07,2024-05-01 12:36:41,69,15975,542,21.26985
Sheet4,B1,2024-05-01 12:56:17,2024-05-01 12:36:41,"      0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18
22  Gain  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN",INVALID,INVALID,-9.996277
Sheet4,B2,2024-05-01 12:56:17,2024-05-01 12:36:41,"      0    1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18
22  Gain  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN",INVALID,INVALID,-9.996277
Sheet5,B1,2024-05-01 12:57:23,2024-05-01 12:58:56,63,41645,2117,-9.765503
Sheet5,B2,2024-05-01 12:57:23,2024-05-01 12:58:56,63,40453,1499,-9.765503
Sheet5,B3,2024-05-01 12:57:23,2024-05-01 12:58:56,63,20894,1692,-9.765503
Sheet5,B4,2024-05-01 12:57:23,2024-05-01 12:58:56,63,18591,902,-9.765503
Sheet5,C1,2024-05-01 12:57:23,2024-05-01 12:58:56,63,47010,3075,-9.765503
Sheet5,C2,2024-05-01 12:57:23,2024-05-01 12:58:56,63,42012,2596,-9.765503
Sheet5,C3,2024-05-01 12:57:23,2024-05-01 12:58:56,63,28039,1666,-9.765503
Sheet5,C4,2024-05-01 12:57:23,2024-05-01 12:58:56,63,17468,717,-9.765503
Sheet6,B1,2024-05-01 13:06:02,2024-05-01 13:07:35,65,40822,2314,-4.68129
Sheet6,B2,2024-05-01 13:06:02,2024-05-01 13:07:35,65,38211,2616,-4.68129
Sheet6,B3,2024-05-01 13:06:02,2024-05-01 13:07:35,65,22386,2051,-4.68129
Sheet6,B4,2024-05-01 13:06:02,2024-05-01 13:07:35,65,20858,1131,-4.68129
Sheet6,C1,2024-05-01 13:06:02,2024-05-01 13:07:35,65,40085,2218,-4.68129
Sheet6,C2,2024-05-01 13:06:02,2024-05-01 13:07:35,65,32337,2452,-4.68129
Sheet6,C3,2024-05-01 13:06:02,2024-05-01 13:07:35,65,22967,1240,-4.68129
Sheet6,C4,2024-05-01 13:06:02,2024-05-01 13:07:35,65,18300,718,-4.68129
Sheet7,B1,2024-05-01 13:10:12,2024-05-01 13:11:45,66,42141,2544,0.2495728
